"Pos","Yd40","Vertical","Bench","Broad","Cone3","Shuttle"
"C",0.904923418472918,0.0696015900591026,0.915963652145139,0.0636299018196753,0.791206916450491,0.771382303681107
"CB",0,1,0,1,0,0
"DE",0.416146300520272,0.640815102040169,0.700302508239414,0.661389278405993,0.393550334093359,0.431874352585339
"DT",0.736652120380929,0.204301428661409,1,0.223790089863201,0.755896694132039,0.762994835587004
"FB",0.321867158473087,0.625050954710522,0.62989321638107,0.614000584337729,0.356700543334525,0.351595215842144
"FS",0.0896326043507338,0.970481173725239,0.128819318837745,0.958611329864628,0.0831392933173871,0.0655193439598005
"ILB",0.322090669981787,0.682692744352513,0.61460121225074,0.678922240868745,0.245401485382215,0.232788073355258
"K",0.520379968358931,0.697701393641828,0.108644147004092,0.755557860278072,0,0
"LS",0.583618198190618,0.323185565042459,0.308630537805174,0.615336030337166,0.084747420321519,0.285976909012062
"OC",0.931137744867852,0.0511688053229176,0.770137593499977,0.0949572392231392,0,0.824023631682962
"OG",1,0,0.833427039840226,0,1,1
"OLB",0.231956560979119,0.821513369872869,0.609936293707068,0.805566050895294,0.198383973730514,0.208653493403481
"OT",0.933960925335268,0.0605051438171533,0.785845514371517,0.0822054420387702,0.907961467086927,0.947566101746558
"P",0.530403538484064,0.145783330442758,0.00288211340736656,0.615336030337166,0,0
"QB",0.409815862576267,0.440109765119535,0.369310169202083,0.472149310957212,0.219874706123802,0.280869668636709
"RB",0.0774014458329006,0.828251243206224,0.386962468892462,0.828956158303405,0.114498833122414,0.151302183882921
"SS",0.0970002436754289,0.927875179040174,0.25366122607592,0.909134150213349,0.0595855767500011,0.0728341482437696
"TE",0.358756584530262,0.623056737553429,0.467180542422904,0.651170497988731,0.261029111867411,0.340690956021694
"WR",0.0251075085998315,0.925997711938164,0.029236158404327,0.928782350644258,0.025859303145035,0.083403897319979
