"pick.no","predicted.values"
1,6.29950759829526
2,6.24664477247704
3,6.19422554932298
4,6.14224620630556
5,6.09070305213516
6,6.0395924264979
7,5.98891069979574
8,5.93865427288868
9,5.88881957683921
10,5.83940307265885
11,5.79040125105681
12,5.74181063219082
13,5.69362776541995
14,5.64584922905965
15,5.59847163013866
16,5.55149160415816
17,5.50490581485277
18,5.45871095395364
19,5.41290374095354
20,5.36748092287387
21,5.32243927403369
22,5.27777559582058
23,5.23348671646356
24,5.18956949080782
25,5.14602080009136
26,5.10283755172354
27,5.06001667906542
28,5.01755514121204
29,4.97544992277639
30,4.93369803367538
31,4.89229650891741
32,4.85124240839184
33,4.81053281666023
34,4.77016484274926
35,4.73013561994545
36,4.69044230559158
37,4.65108208088481
38,4.61205215067652
39,4.5733497432738
40,4.53497211024262
41,4.49691652621267
42,4.45918028868379
43,4.42176071783407
44,4.38465515632956
45,4.34786096913551
46,4.3113755433293
47,4.27519628791485
48,4.23932063363865
49,4.20374603280727
50,4.16846995910645
51,4.13348990742172
52,4.09880339366046
53,4.06440795457554
54,4.03030114759033
55,3.9964805506253
56,3.96294376192601
57,3.92968839989251
58,3.89671210291025
59,3.86401252918235
60,3.83158735656333
61,3.79943428239415
62,3.76755102333874
63,3.73593531522182
64,3.70458491286812
65,3.67349758994296
66,3.64267113879408
67,3.61210337029496
68,3.58179211368929
69,3.55173521643684
70,3.52193054406058
71,3.49237597999514
72,3.46306942543646
73,3.43400879919279
74,3.40519203753683
75,3.37661709405925
76,3.3482819395233
77,3.32018456172075
78,3.29232296532898
79,3.26469517176927
80,3.23729921906632
81,3.21013316170887
82,3.18319507051161
83,3.15648303247813
84,3.12999515066508
85,3.10372954404746
86,3.07768434738507
87,3.05185771108999
88,3.02624780109528
89,3.00085279872472
90,2.97567090056365
91,2.95070031833094
92,2.92593927875192
93,2.90138602343254
94,2.87703880873442
95,2.85289590565108
96,2.82895559968514
97,2.80521619072656
98,2.7816759929319
99,2.75833333460462
100,2.73518655807637
101,2.71223401958922
102,2.68947408917901
103,2.66690515055953
104,2.64452560100777
105,2.6223338512501
106,2.60032832534942
107,2.5785074605932
108,2.55686970738259
109,2.53541352912227
110,2.51413740211142
111,2.49303981543546
112,2.47211927085878
113,2.45137428271834
114,2.43080337781814
115,2.41040509532465
116,2.39017798666301
117,2.37012061541424
118,2.35023155721313
119,2.33050939964718
120,2.31095274215627
121,2.29156019593316
122,2.27233038382493
123,2.25326194023514
124,2.23435351102684
125,2.21560375342647
126,2.19701133592843
127,2.17857493820057
128,2.16029325099042
129,2.14216497603218
130,2.12418882595459
131,2.10636352418944
132,2.08868780488097
133,2.07116041279592
134,2.05378010323445
135,2.03654564194169
136,2.01945580502016
137,2.00250937884278
138,1.98570515996673
139,1.96904195504797
140,1.95251858075652
141,1.93613386369239
142,1.91988664030229
143,1.90377575679697
144,1.88780006906929
145,1.87195844261299
146,1.8562497524421
147,1.84067288301106
148,1.82522672813552
149,1.80991019091374
150,1.79472218364873
151,1.779661627771
152,1.76472745376195
153,1.74991860107796
154,1.73523401807501
155,1.72067266193407
156,1.70623349858699
157,1.69191550264308
158,1.67771765731631
159,1.66363895435311
160,1.64967839396071
161,1.63583498473621
162,1.62210774359615
163,1.60849569570667
164,1.59499787441434
165,1.58161332117744
166,1.56834108549798
167,1.55518022485409
168,1.54212980463321
169,1.52918889806561
170,1.51635658615865
171,1.50363195763148
172,1.49101410885033
173,1.47850214376436
174,1.46609517384201
175,1.45379231800789
176,1.44159270258025
177,1.42949546120889
178,1.41749973481366
179,1.40560467152345
180,1.39380942661572
181,1.38211316245645
182,1.37051504844072
183,1.35901426093368
184,1.34760998321209
185,1.33630140540631
186,1.32508772444278
187,1.31396814398699
188,1.30294187438695
189,1.2920081326171
190,1.28116614222269
191,1.27041513326465
192,1.25975434226492
193,1.24918301215225
194,1.23870039220837
195,1.22830573801476
196,1.21799831139974
197,1.20777738038605
198,1.19764221913887
199,1.1875921079143
200,1.17762633300822
201,1.16774418670561
202,1.1579449672303
203,1.14822797869515
204,1.13859253105257
205,1.12903794004561
206,1.11956352715929
207,1.11016861957243
208,1.10085255010993
209,1.09161465719529
210,1.08245428480371
211,1.07337078241549
212,1.06436350496978
213,1.05543181281884
214,1.04657507168257
215,1.0377926526035
216,1.02908393190208
217,1.02044829113244
218,1.01188511703845
219,1.00339380151015
220,0.994973741540594
221,0.986624339183019
222,0.978345001508379
223,0.970135140563238
224,0.96199417332802
225,0.953921521675605
226,0.945916612330272
227,0.937978876826991
228,0.930107751471051
229,0.922302677298032
230,0.914563100034108
231,0.906888470056686
232,0.899278242355376
233,0.891731876493287
234,0.884248836568647
235,0.876828591176746
236,0.869470613372202
237,0.862174380631536
238,0.854939374816067
239,0.847765082135117
240,0.840650993109523
241,0.833596602535458
242,0.826601409448555
243,0.819664917088327
244,0.812786632862894
245,0.805966068314002
246,0.799202739082332
247,0.792496164873105
248,0.785845869421976
249,0.77925138046121
250,0.772712229686144
251,0.766227952721931
252,0.759798089090566
253,0.753422182178178
254,0.747099779202611
255,0.740830431181266
256,0.734613692899218
