our.values,jjs.values
601.0552518,3000
596.0114482,2600
591.00997,2200
586.0504622,1800
581.1325725,1700
576.2559517,1600
571.4202534,1500
566.6251343,1400
561.8702538,1350
557.1552743,1300
552.4798609,1250
547.8436816,1200
543.2464072,1150
538.6877112,1100
534.1672698,1050
529.6847621,1000
525.2398698,950
520.832277,900
516.461671,875
512.1277413,850
507.83018,800
503.5686821,780
499.342945,760
495.1526684,740
490.9975548,720
486.8773093,700
482.7916391,680
478.7402541,660
474.7228667,640
470.7391915,620
466.7889456,600
462.8718486,590
458.9876221,580
455.1359905,560
451.3166802,550
447.5294199,540
443.7739406,530
440.0499759,520
436.357261,510
432.6955339,500
429.0645344,490
425.4640048,480
421.8936893,470
418.3533344,460
414.8426887,450
411.3615028,440
407.9095296,430
404.4865239,420
401.0922426,410
397.7264447,400
394.3888912,390
391.079345,380
387.7975712,370
384.5433366,360
381.3164102,350
378.1165628,340
374.9435672,330
371.797198,320
368.6772319,310
365.5834472,300
362.5156242,292
359.4735451,284
356.4569939,276
353.4657563,270
350.4996199,265
347.5583741,260
344.64181,255
341.7497204,250
338.8819001,245
336.0381453,240
333.2182541,235
330.4220263,230
327.6492632,225
324.899768,220
322.1733454,215
319.4698018,210
316.7889452,205
314.1305853,200
311.4945331,195
308.8806017,190
306.2886052,185
303.7183597,180
301.1696826,175
298.6423929,170
296.1363112,165
293.6512595,160
291.1870612,155
288.7435415,150
286.3205268,145
283.9178451,140
281.5353256,136
279.1727992,132
276.8300982,128
274.5070561,124
272.203508,120
269.9192903,116
267.6542408,112
265.4081987,108
263.1810044,104
260.9724998,100
258.782528,96
256.6109336,92
254.4575622,88
252.3222611,86
250.2048785,84
248.1052641,82
246.0232688,80
243.9587447,78
241.9115452,76
239.881525,74
237.8685398,72
235.8724468,70
233.8931041,68
231.9303713,66
229.9841089,64
228.0541787,62
226.1404437,60
224.2427679,58
222.3610166,56
220.4950562,54
218.6447542,52
216.8099791,50
214.9906007,49
213.1864898,48
211.3975181,47
209.6235588,46
207.8644858,45
206.1201742,44
204.3905002,43
202.6753408,42
200.9745744,41
199.28808,40
197.615738,39.5
195.9574296,39
194.3130371,38.5
192.6824436,38
191.0655333,37.5
189.4621915,37
187.8723042,36.5
186.2957586,36
184.7324428,35.5
183.1822456,35
181.645057,34.5
180.1207679,34
178.6092699,33.5
177.1104558,33
175.6242192,32.6
174.1504544,32.2
172.6890568,31.8
171.2399227,31.4
169.802949,31
168.3780339,30.6
166.9650761,30.2
165.5639752,29.8
164.1746317,29.4
162.7969471,29
161.4308234,28.6
160.0761636,28.2
158.7328716,27.8
157.4008519,27.4
156.0800099,27
154.770252,26.6
153.4714849,26.2
152.1836166,25.8
150.9065555,25.4
149.640211,25
148.3844931,24.6
147.1393126,24.2
145.9045812,23.8
144.6802112,23.4
143.4661155,23
142.2622081,22.6
141.0684033,22.2
139.8846164,21.8
138.7107634,21.4
137.5467608,21
136.3925261,20.6
135.2479772,20.2
134.1130329,19.8
132.9876126,19.4
131.8716363,19
130.7650248,18.6
129.6676996,18.2
128.5795826,17.8
127.5005967,17.4
126.4306652,17
125.369712,16.6
124.317662,16.2
123.2744403,15.8
122.2399729,15.4
121.2141863,15
120.1970077,14.6
119.1883648,14.2
118.1881861,13.8
117.1964004,13.4
116.2129373,13
115.2377271,12.6
114.2707004,12.2
113.3117886,11.8
112.3609236,11.4
111.4180379,11
110.4830644,10.6
109.5559369,10.2
108.6365894,9.8
107.7249567,9.4
106.820974,9
105.9245772,8.6
105.0357026,8.2
104.154287,7.8
103.2802679,7.4
102.4135832,7
101.5541714,6.6
100.7019714,6.2
99.85692268,5.8
99.01896527,5.4
98.18803964,5
97.36408679,4.6
96.54704821,4.2
95.73686587,3.8
94.93348224,3.4
94.13684027,3
93.34688339,2.6
92.56355549,2.3
91.78680095,2
91.01656461,
90.25279178,
89.4954282,
88.7444201,
87.99971414,
87.26125745,
86.52899757,
85.80288251,
85.08286071,
84.36888102,
83.66089276,
82.95884563,
82.26268979,
81.5723758,
80.88785463,
80.20907768,
79.53599674,
78.86856401,
78.2067321,
77.550454,
76.89968312,
76.25437323,
75.61447851,
74.97995351,
74.35075319,
73.72683285,
73.10814819,
72.49465527,
71.88631053,
71.28307076,
70.68489312,
70.09173515,
